parameter,comment,options,label
X,"ndarray of shape (n_samples n_features) The data used to scale along the features axis. """"""",warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,numpy
X,"sparse matrix of shape (n_samples n_features) The data used to scale along the features axis. The sparse matrix needs to be nonnegative. If a sparse matrix is provided it will be converted into a sparse ``csc_matrix``. """"""",warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,scipy.sparse
X,ndarray of shape (n_samples n_features) The data used to scale along the features axis.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,numpy
inverse,bool default=False If False apply forward transform. If True apply inverse transform.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
X,array-like of shape (n_samples n_features) The data used to estimate the optimal transformation parameters and to be transformed using a power transformation.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,numpy
y,Ignored Not used present for API consistency by convention.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
X,array-like of shape (n_samples n_features),warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,numpy
in_fit,bool Whether or not `_check_input` is called from `fit` or other methods e.g. `predict` `transform` etc.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
check_positive,bool default=False If True check that all data is positive and non-zero (only if ``self.method=='box-cox'``).,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
check_shape,"bool default=False If True check that n_features matches the length of self.lambdas_ """"""",warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
X,array-like of shape (n_samples n_features) The data to be transformed using a power transformation.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,numpy
method,{'yeo-johnson' 'box-cox'} default='yeo-johnson',warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
standardize,bool default=True Set to True to apply zero-mean unit-variance normalization to the transformed output.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
copy,bool default=True Set to False to perform inplace computation during transformation.,warnings numbers.Integral numbers.Real numpy scipy.sparse scipy.stats scipy.optimize scipy.special.boxcox base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils._param_validation.Interval utils._param_validation.Options utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath._incremental_mean_and_var utils.extmath.row_norms utils.sparsefuncs_fast.inplace_csr_row_normalize_l1 utils.sparsefuncs_fast.inplace_csr_row_normalize_l2 utils.sparsefuncs.inplace_column_scale utils.sparsefuncs.mean_variance_axis utils.sparsefuncs.incr_mean_variance_axis utils.sparsefuncs.min_max_axis utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_sample_weight utils.validation.FLOAT_DTYPES _encoders.OneHotEncoder,builtin
input_features,array-like of str or None default=None Input features.,collections numbers.Integral itertools.chain itertools.combinations itertools.combinations_with_replacement numpy scipy.sparse scipy.interpolate.BSpline scipy.special.comb base.BaseEstimator base.TransformerMixin utils.check_array utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils.validation._check_sample_weight utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils.stats._weighted_percentile utils.fixes.sp_version utils.fixes.parse_version _csr_polynomial_expansion._csr_polynomial_expansion _csr_polynomial_expansion._calc_expanded_nnz _csr_polynomial_expansion._calc_total_nnz,builtin
X,array-like of shape (n_samples n_features) The data.,collections numbers.Integral itertools.chain itertools.combinations itertools.combinations_with_replacement numpy scipy.sparse scipy.interpolate.BSpline scipy.special.comb base.BaseEstimator base.TransformerMixin utils.check_array utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils.validation._check_sample_weight utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils.stats._weighted_percentile utils.fixes.sp_version utils.fixes.parse_version _csr_polynomial_expansion._csr_polynomial_expansion _csr_polynomial_expansion._calc_expanded_nnz _csr_polynomial_expansion._calc_total_nnz,numpy
y,None Ignored.,collections numbers.Integral itertools.chain itertools.combinations itertools.combinations_with_replacement numpy scipy.sparse scipy.interpolate.BSpline scipy.special.comb base.BaseEstimator base.TransformerMixin utils.check_array utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils.validation._check_sample_weight utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils.stats._weighted_percentile utils.fixes.sp_version utils.fixes.parse_version _csr_polynomial_expansion._csr_polynomial_expansion _csr_polynomial_expansion._calc_expanded_nnz _csr_polynomial_expansion._calc_total_nnz,builtin
sample_weight,"array-like of shape (n_samples) default = None Individual weights for each sample. Used to calculate quantiles if `knots=""quantile""`. For `knots=""uniform""` zero weighted observations are ignored for finding the min and max of `X`.",collections numbers.Integral itertools.chain itertools.combinations itertools.combinations_with_replacement numpy scipy.sparse scipy.interpolate.BSpline scipy.special.comb base.BaseEstimator base.TransformerMixin utils.check_array utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils.validation._check_sample_weight utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils.stats._weighted_percentile utils.fixes.sp_version utils.fixes.parse_version _csr_polynomial_expansion._csr_polynomial_expansion _csr_polynomial_expansion._calc_expanded_nnz _csr_polynomial_expansion._calc_total_nnz,numpy
X,array-like of shape (n_samples n_features) The data to transform.,collections numbers.Integral itertools.chain itertools.combinations itertools.combinations_with_replacement numpy scipy.sparse scipy.interpolate.BSpline scipy.special.comb base.BaseEstimator base.TransformerMixin utils.check_array utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils.validation._check_sample_weight utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils.stats._weighted_percentile utils.fixes.sp_version utils.fixes.parse_version _csr_polynomial_expansion._csr_polynomial_expansion _csr_polynomial_expansion._calc_expanded_nnz _csr_polynomial_expansion._calc_total_nnz,builtin
X,{array-like sparse-matrix} of shape (n_samples n_features) if `validate=True` else any object that `func` can handle Input array.,warnings numpy base.BaseEstimator base.TransformerMixin utils.metaestimators.available_if utils.validation._allclose_dense_sparse utils.validation._check_feature_names_in utils.validation.check_array utils._param_validation.StrOptions,numpy
y,Ignored Not used present here for API consistency by convention.,warnings numpy base.BaseEstimator base.TransformerMixin utils.metaestimators.available_if utils.validation._allclose_dense_sparse utils.validation._check_feature_names_in utils.validation.check_array utils._param_validation.StrOptions,builtin
X,{array-like sparse-matrix} of shape (n_samples n_features) if `validate=True` else any object that `func` can handle Input array.,warnings numpy base.BaseEstimator base.TransformerMixin utils.metaestimators.available_if utils.validation._allclose_dense_sparse utils.validation._check_feature_names_in utils.validation.check_array utils._param_validation.StrOptions,numpy
X,{array-like sparse-matrix} of shape (n_samples n_features) if `validate=True` else any object that `inverse_func` can handle Input array.,warnings numpy base.BaseEstimator base.TransformerMixin utils.metaestimators.available_if utils.validation._allclose_dense_sparse utils.validation._check_feature_names_in utils.validation.check_array utils._param_validation.StrOptions,numpy
input_features,array-like of str or None default=None Input feature names.,warnings numpy base.BaseEstimator base.TransformerMixin utils.metaestimators.available_if utils.validation._allclose_dense_sparse utils.validation._check_feature_names_in utils.validation.check_array utils._param_validation.StrOptions,builtin
transform,"{""default"" ""pandas""} default=None Configure output of `transform` and `fit_transform`.",warnings numpy base.BaseEstimator base.TransformerMixin utils.metaestimators.available_if utils.validation._allclose_dense_sparse utils.validation._check_feature_names_in utils.validation.check_array utils._param_validation.StrOptions,builtin
y,iterable of iterables A set of labels (any orderable and hashable object) for each sample. If the `classes` parameter is set `y` will not be iterated.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
y,iterable of iterables A set of labels (any orderable and hashable object) for each sample. If the `classes` parameter is set `y` will not be iterated.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
y,iterable of iterables A set of labels (any orderable and hashable object) for each sample. If the `classes` parameter is set `y` will not be iterated.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
yt,{ndarray sparse matrix} of shape (n_samples n_classes) A matrix containing only 1s ands 0s.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,numpy
y,array-like Sequence of integer labels or multilabel data to encode.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,numpy
classes,array-like of shape (n_classes) Uniquely holds the label for each class.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,numpy
neg_label,int default=0 Value with which negative labels must be encoded.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
pos_label,int default=1 Value with which positive labels must be encoded.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
sparse_output,bool default=False Set to true if output binary array is desired in CSR sparse format.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
y,iterable of iterables A set of labels (any orderable and hashable object) for each sample. If the `classes` parameter is set `y` will not be iterated.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
class_mapping,Mapping Maps from label to column index in label indicator matrix.,collections.defaultdict numbers.Integral itertools array warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin utils.sparsefuncs.min_max_axis utils._param_validation.Interval utils._param_validation.validate_params utils.column_or_1d utils.validation._num_samples utils.validation.check_array utils.validation.check_is_fitted utils.multiclass.unique_labels utils.multiclass.type_of_target utils._encode._encode utils._encode._unique,builtin
X,array-like of shape (n_samples n_features) Data to be discretized.,numbers.Integral numpy warnings None.OneHotEncoder base.BaseEstimator base.TransformerMixin utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Options utils.validation.check_array utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_feature_names_in utils.validation._check_sample_weight utils.stats._weighted_percentile utils._safe_indexing cluster.KMeans,numpy
y,None Ignored. This parameter exists only for compatibility with,numbers.Integral numpy warnings None.OneHotEncoder base.BaseEstimator base.TransformerMixin utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Options utils.validation.check_array utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_feature_names_in utils.validation._check_sample_weight utils.stats._weighted_percentile utils._safe_indexing cluster.KMeans,builtin
sample_weight,"ndarray of shape (n_samples) Contains weight values to be associated with each sample. Only possible when `strategy` is set to `""quantile""`.",numbers.Integral numpy warnings None.OneHotEncoder base.BaseEstimator base.TransformerMixin utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Options utils.validation.check_array utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_feature_names_in utils.validation._check_sample_weight utils.stats._weighted_percentile utils._safe_indexing cluster.KMeans,numpy
X,array-like of shape (n_samples n_features) Data to be discretized.,numbers.Integral numpy warnings None.OneHotEncoder base.BaseEstimator base.TransformerMixin utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Options utils.validation.check_array utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_feature_names_in utils.validation._check_sample_weight utils.stats._weighted_percentile utils._safe_indexing cluster.KMeans,numpy
Xt,array-like of shape (n_samples n_features) Transformed data in the binned space.,numbers.Integral numpy warnings None.OneHotEncoder base.BaseEstimator base.TransformerMixin utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Options utils.validation.check_array utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_feature_names_in utils.validation._check_sample_weight utils.stats._weighted_percentile utils._safe_indexing cluster.KMeans,numpy
input_features,array-like of str or None default=None Input features.,numbers.Integral numpy warnings None.OneHotEncoder base.BaseEstimator base.TransformerMixin utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Options utils.validation.check_array utils.validation.check_is_fitted utils.validation.check_random_state utils.validation._check_feature_names_in utils.validation._check_sample_weight utils.stats._weighted_percentile utils._safe_indexing cluster.KMeans,builtin
X,array-like of shape (n_samples n_features) The data to determine the categories of each feature.,numpy numbers.Real numbers.Integral _encoders._BaseEncoder base.OneToOneFeatureMixin _target_encoder_fast._fit_encoding_fast _target_encoder_fast._fit_encoding_fast_auto_smooth utils.validation._check_y utils.validation.check_consistent_length utils.multiclass.type_of_target utils._param_validation.Interval utils._param_validation.StrOptions model_selection.KFold model_selection.StratifiedKFold preprocessing.LabelEncoder,numpy
y,array-like of shape (n_samples) The target data used to encode the categories.,numpy numbers.Real numbers.Integral _encoders._BaseEncoder base.OneToOneFeatureMixin _target_encoder_fast._fit_encoding_fast _target_encoder_fast._fit_encoding_fast_auto_smooth utils.validation._check_y utils.validation.check_consistent_length utils.multiclass.type_of_target utils._param_validation.Interval utils._param_validation.StrOptions model_selection.KFold model_selection.StratifiedKFold preprocessing.LabelEncoder,numpy
X,array-like of shape (n_samples n_features) The data to determine the categories of each feature.,numpy numbers.Real numbers.Integral _encoders._BaseEncoder base.OneToOneFeatureMixin _target_encoder_fast._fit_encoding_fast _target_encoder_fast._fit_encoding_fast_auto_smooth utils.validation._check_y utils.validation.check_consistent_length utils.multiclass.type_of_target utils._param_validation.Interval utils._param_validation.StrOptions model_selection.KFold model_selection.StratifiedKFold preprocessing.LabelEncoder,numpy
y,array-like of shape (n_samples) The target data used to encode the categories.,numpy numbers.Real numbers.Integral _encoders._BaseEncoder base.OneToOneFeatureMixin _target_encoder_fast._fit_encoding_fast _target_encoder_fast._fit_encoding_fast_auto_smooth utils.validation._check_y utils.validation.check_consistent_length utils.multiclass.type_of_target utils._param_validation.Interval utils._param_validation.StrOptions model_selection.KFold model_selection.StratifiedKFold preprocessing.LabelEncoder,numpy
X,array-like of shape (n_samples n_features) The data to determine the categories of each feature.,numpy numbers.Real numbers.Integral _encoders._BaseEncoder base.OneToOneFeatureMixin _target_encoder_fast._fit_encoding_fast _target_encoder_fast._fit_encoding_fast_auto_smooth utils.validation._check_y utils.validation.check_consistent_length utils.multiclass.type_of_target utils._param_validation.Interval utils._param_validation.StrOptions model_selection.KFold model_selection.StratifiedKFold preprocessing.LabelEncoder,numpy
category_count,ndarray of shape (n_cardinality) Category counts.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,numpy
n_samples,int Number of samples.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,builtin
col_idx,int Index of the current category. Only used for the error message.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,builtin
